"","player_name","player_id","combWoba","combXwoba","combLaunch_angle","combLaunch_speed","combBatted_ball_direction_0","combBatted_ball_direction_1","combBatted_ball_direction_2"
"210","Alexei Ramirez","493351","0.287029787234043","0.280157446808511","8.61978723404255","84.4059574468085","358","392","190"
"211","Eric Campbell","493472","0.259397905759162","0.358874345549738","8.00628272251309","87.4973821989529","75","62","54"
"212","Gordon Beckham","493596","0.279914285714286","0.297521428571429","11.8311904761905","85.9540476190476","146","171","103"
"213","Chris Colabello","499624","0.466391003460208","0.424290657439446","9.01764705882353","89.8719723183391","92","120","77"
"214","Yangervis Solarte","500208","0.330572130141191","0.319579496623696","13.065561694291","87.0610190300798","641","636","352"
"215","Miguel Rojas","500743","0.30132135523614","0.301535934291581","7.06129363449692","83.5362422997947","270","409","295"
"216","Eduardo Escobar","500871","0.370028011204482","0.362166666666667","16.4651260504202","86.1848039215686","527","537","364"
"217","Jose Martinez","500874","0.41530977443609","0.454615037593985","8.75233082706767","90.5177443609023","185","273","207"
"218","Ehire Adrianza","501303","0.321440217391304","0.301445652173913","12.7771739130435","83.2233695652174","243","189","120"
"219","Juan Lagares","501571","0.332667556742323","0.314642189586115","8.54552736982643","87.3571428571429","214","314","221"
"220","Abraham Almonte","501659","0.337338129496403","0.352057553956835","5.28489208633094","86.5942446043165","188","240","128"
"221","David Freese","501896","0.403638793103448","0.407962068965517","4.65603448275862","89.8650862068966","323","488","349"
"222","Khris Davis","501981","0.465498969072165","0.488319587628866","14.5585567010309","91.6418556701031","501","597","357"
"223","Tommy Pham","502054","0.452809843400447","0.44817225950783","6.63266219239374","91.1852348993289","268","398","228"
"224","Lonnie Chisenhall","502082","0.369424688561721","0.340869762174405","16.7733861834655","85.3181200453001","325","325","233"
"225","Alex Presley","502100","0.347514851485149","0.340237623762376","8.74752475247525","85.1089108910891","108","105","90"
"226","J.D. Martinez","502110","0.515904915912031","0.52745148771022","13.6244501940492","91.6900388098318","565","561","420"
"227","Danny Valencia","502143","0.397520958083832","0.400579127459367","8.64388366124893","89.9618477331052","421","482","266"
"228","Josh Reddick","502210","0.346686496133254","0.33638251041047","15.9393218322427","86.9901844140393","609","610","462"
"229","Jarrod Dyson","502481","0.297896174863388","0.276790163934426","4.65180327868852","80.5296174863388","314","370","231"
"230","Daniel Murphy","502517","0.395065241844769","0.394583802024747","15.6064679415073","89.6136107986502","661","620","497"
"231","Shawn O'Malley","502523","0.33431693989071","0.265972677595628","3.45573770491803","78.6131147540983","65","65","53"
"232","Paul Goldschmidt","502671","0.478962507322788","0.461718219097833","12.8826596367897","91.3053895723492","586","662","459"
"233","Marwin Gonzalez","503556","0.391411157024793","0.359764462809917","9.36859504132231","86.8820247933884","591","567","294"
"234","Alexi Amarista","506560","0.275801904761905","0.279220952380952","9.64628571428571","84.7001904761905","150","226","149"
"235","Sandy Leon","506702","0.33436","0.31748","13.0735714285714","83.3817142857143","278","251","171"
"236","Jose Altuve","514888","0.397982573726542","0.361639857015192","10.0384271671135","86.3170688114388","848","927","463"
"237","Ruben Tejada","514913","0.294635555555556","0.33292","12.148","84.548","148","156","146"
"238","Cesar Hernandez","514917","0.361591748768473","0.325011699507389","4.53885467980296","83.9304187192118","540","631","453"
"239","Jean Segura","516416","0.358643469490671","0.327538073625819","6.26177508825013","87.2778618255169","548","830","605"
"240","Starlin Castro","516770","0.360026878771256","0.350317608337905","7.79040043883708","87.571146461876","664","761","398"
"241","Starling Marte","516782","0.388270096463023","0.371042443729904","7.18218649517685","85.9839871382637","568","592","395"
"242","Jose Pirela","517369","0.346008746355685","0.331897959183673","4.72244897959184","88.4148688046647","206","304","176"
"243","Jimmy Paredes","517370","0.403010928961749","0.378857923497268","6.99098360655738","89.4489071038251","157","122","87"
"244","Juan Centeno","518542","0.314106194690266","0.318672566371681","5.74557522123894","83.9747787610619","70","89","67"
"245","Christian Colon","518568","0.285003984063745","0.262577689243028","5.87609561752988","84.0752988047809","78","98","75"
"246","Charlie Culberson","518586","0.41480198019802","0.325386138613861","7.34950495049505","84.8","105","111","87"
"247","Travis d'Arnaud","518595","0.346078697421981","0.339602442333786","13.196065128901","88.2989145183175","241","294","202"
"248","Daniel Descalso","518614","0.365256470588235","0.349985882352941","13.6570588235294","87.4447058823529","347","315","188"
"249","Derek Dietrich","518618","0.388930212014134","0.373324204946996","15.3499116607774","86.5140459363957","438","417","277"
"250","Josh Donaldson","518626","0.447891763104152","0.443132743362832","12.554322668482","91.630905377808","567","562","340"
"251","Freddie Freeman","518692","0.457021943573668","0.480761755485893","15.4799373040752","90.1181818181818","585","575","435"
"252","Yasmani Grandal","518735","0.39670510708402","0.393810543657331","12.5031301482702","89.2617792421746","472","464","278"
"253","Jason Heyward","518792","0.323692307692308","0.324842074592075","9.14055944055944","87.5310023310023","707","606","403"
"254","DJ LeMahieu","518934","0.37065641025641","0.369134358974359","3.84482051282051","90.0189743589744","406","842","702"
